ich	I
sie	she
das	that, this (pronoun)
du	you (familiar, singular)
nicht	not
die	the (feminine)
und	and
es	it
der	the (masculine)
was	what
wir	we
er	he
zu	1. too (as in excessive; adv.). 2. to, towards (prep., + dat). 3. shut, closed (adj.)
ein	one, a
in	in, into
mit	with 
wie	how
ja	yes
auf	up, on (a horizontal surface)
so	so
aber	but
hier	here
für	for  (+ acc)
von	from, of 
haben	to have
dass	that (conjunction)
wenn	when, if (conditional)
an	on (a vertical surface)
nein	no
da	there, then
noch	still
nur	only
Ihr	your (polite)
ihr	her, their
uns	us
aus	1. out. 2. from
gut	good
Gut	the estate, property or possession
schon	already
auch	also
sein	to be
sein	his, its (two forms)
jetzt	now
mal	time, instance (as in once, twice, thrice, etc.)
Mal	the time (occurrence)
dann	then
als	than, as, when
um	around  (+ acc)
mein	my
doch	1. (disagreeing with a negative statement or question) 2. (grammatical particle, emphatic marker)
nach	after, to
alles	everything
man	one (3rd person, as in he/she/it)
oder	or
nichts	nothing
Nichts	the nothingness (no plural)
wo	where
weiß	white
werden	1. to become.  2. will (in the future sense)
mehr	more
warum	why (1)
etwas	something
Bitte	the request, the appeal
bitte	please
bei	at
immer	always
los	going on
Mann	the man, the husband
vor	1. in front of 2. before 3. (some time) ago 4. forward
sehr	very
sehen	to see
sagen	to say
wieder	again
alle	all, everybody
gehen	to go
wer	who
also	well then, therefore
können	can, to be able to
machen	to make, do
denn	because (formal), for
tun	to do
nie	never (1)
über	over
kein	no, not any
vielleicht	maybe
weg	away
Weg	the way, the path or route
wissen	to know (information)
am	1. on the (e.g., wall). 2. at the (e.g., table). 3. upon the (as in, e.g., Newcastle-upon-Tyne). 4. in the (e.g., evening).  (two forms)
kommen	to come
Leben	the life
leben	to live (existentially)
müssen	to have to
viel	a lot, much
wirklich	really
Frau	Mrs., Ms.
Frau	the woman, the wife
heute	today
Zeit	the time (period of time)
dein	your (informal, singular)
bis	until
ganz	whole, complete
wollen	to want
Gott	God
einfach	easy, simple
zurück	back
weil	because
dieser	this (three forms)
damit	so that
zwei	two
meinen	to opine
sicher	1. sure. 2. safe, secure
Leid	the sorrow
Morgen	the morning (usually referring to early morning)
morgen	tomorrow
lassen	to let, to leave
na	well, ...
Liebe	the love (no plural)
Leute	the people (plural only)
Tag	the day
genau	exact, precise
Vater	the father
Geld	the money
durch	through
wohl	well
schön	beautiful
Glaube	the faith, of faith (nominative and genitive; no plural)
klar	clear
Mutter	the mother
Nacht	the night
besser	better
ohne	without
reden	to talk
jemand	someone
ob	whether
gerade	1. just, just now, currently 2. straight
selbst	self
dort	there
Paar	the pair, the couple
weiter	further
Ordnung	the order, the organisation, the regularity
geben	to give
Herr	the gentleman
Herr	Mr.
hören	to hear
Mädchen	the girl
gar	1. tender (in cooking), cooked. 2. at all (emphatic marker)
seit	since
Welt	the world
gleich	1. soon. 2. equal
Freund	the male friend, the boyfriend
Abend	the evening
natürlich	1. natural. 2. of course, naturally
drei	three
Angst	the fear
Ach	Is that so?
Recht	the right (noun)
recht	right
viele	many
finden	to find
richtig	correct
unter	under
Junge	the boy
tot	dead
bleiben	to stay
Haus	the house
nehmen	to take
essen	to eat
helfen	to help
sollen	should
unser	our
wegen	because of
andere	1. other (pronoun). 2. other (adjective), different
wieso	why (3)
schnell	fast
genug	enough
sonst	else, otherwise
gegen	1. against. 2. around (time)
zusammen	together
erst	first, not until, only
Scheiße	the feces (no plural) (a vulgarity)
Moment	the moment
glauben	to believe
bringen	to bring
niemand	no one
brauchen	to need
warten	to wait
Arbeit	the work
fragen	to ask
sprechen	to speak
wann	when (time)
jeder	each, every, everybody (three forms)
kennen	to be familiar with
fertig	ready, (with verbs) finished
einmal	once
halten	to hold, to stop, to keep
sofort	immediately
Sohn	the son
bevor	before
Kind	the child
Uhr	the watch, the clock
wahr	true
Lieber	Dear (two forms)
lieber	rather (as in, e.g., I'd rather drink tea)
allein	alone
Kopf	the head
denken	to think
Sache	the thing (abstract), the matter, the business
Bruder	the brother
gern	gladly
